cohort,curve,mean_predicted,observed,line_style,marker
HRS,original,0.1199232531073753,0.0495426829268292,solid,circle
HRS,original,0.2182844524920418,0.1097560975609756,solid,circle
HRS,original,0.2904845923235234,0.1638719512195122,solid,circle
HRS,original,0.359152374880771,0.2356979405034324,solid,circle
HRS,original,0.4231349244488564,0.2783269961977186,solid,circle
HRS,original,0.4883520265020078,0.3427480916030534,solid,circle
HRS,original,0.5547147010469944,0.3923664122137404,solid,circle
HRS,original,0.6268704651834001,0.4961890243902439,solid,circle
HRS,original,0.711750164811835,0.597105864432597,solid,circle
HRS,original,0.8426663158471899,0.7871853546910755,solid,circle
HRS,recalibrated,0.0542129317054542,0.0495426829268292,dashed,square
HRS,recalibrated,0.1125904266263761,0.1074695121951219,dashed,square
HRS,recalibrated,0.1637927116310676,0.1661585365853658,dashed,square
HRS,recalibrated,0.2186810412346997,0.2372234935163997,dashed,square
HRS,recalibrated,0.2753194997793841,0.2787509520182787,dashed,square
HRS,recalibrated,0.3388338219976249,0.3391768292682927,dashed,square
HRS,recalibrated,0.409621294142527,0.3954198473282442,dashed,square
HRS,recalibrated,0.4937079201105113,0.4939024390243902,dashed,square
HRS,recalibrated,0.6017063680118305,0.5975609756097561,dashed,square
HRS,recalibrated,0.7845869219581408,0.7873475609756098,dashed,square
ELSA,original,0.1450798780252526,0.0824891461649783,solid,circle
ELSA,original,0.271404766106145,0.1389290882778582,solid,circle
ELSA,original,0.3572607213895995,0.1840579710144927,solid,circle
ELSA,original,0.4312255499333552,0.2373371924746743,solid,circle
ELSA,original,0.495434989520745,0.2648335745296671,solid,circle
ELSA,original,0.5592285605333149,0.308695652173913,solid,circle
ELSA,original,0.6249929935347585,0.3270622286541244,solid,circle
ELSA,original,0.6909862168794833,0.3942028985507246,solid,circle
ELSA,original,0.7626333421849975,0.4703328509406657,solid,circle
ELSA,original,0.8619179574483941,0.6295224312590448,solid,circle
ELSA,recalibrated,0.0804789237450769,0.0824891461649783,dashed,square
ELSA,recalibrated,0.1409080768872231,0.1389290882778582,dashed,square
ELSA,recalibrated,0.1840929355809294,0.1840579710144927,dashed,square
ELSA,recalibrated,0.2239841217625179,0.2373371924746743,dashed,square
ELSA,recalibrated,0.2615796508485399,0.2662807525325615,dashed,square
ELSA,recalibrated,0.3025832802923088,0.3043478260869565,dashed,square
ELSA,recalibrated,0.3501334468652535,0.3299565846599132,dashed,square
ELSA,recalibrated,0.4049714696724785,0.3971014492753623,dashed,square
ELSA,recalibrated,0.4757515777941928,0.4703328509406657,dashed,square
ELSA,recalibrated,0.6125399126896799,0.6266280752532561,dashed,square
