dataset,model,calibration,n,events,bootstrap_replicates,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,brier,brier_ci_low,brier_ci_high,observed_percent,observed_percent_ci_low,observed_percent_ci_high,mean_predicted_percent,mean_predicted_percent_ci_low,mean_predicted_percent_ci_high,calibration_intercept,calibration_intercept_ci_low,calibration_intercept_ci_high,calibration_slope,calibration_slope_ci_low,calibration_slope_ci_high
CHARLS repeated 5-fold CV,M1_single_assessment,none_internal_cv,7264,2886,1000,0.7396997667098171,0.7282711155088094,0.7514582569104318,0.6569439517044939,0.6383087426689071,0.6761680474591848,0.19850843723979092,0.1942819326431871,0.20279521595971525,39.730176211453745,38.61474394273128,40.90067455947137,39.730166140582675,39.223914968658654,40.18672796432151,-0.001399569499873902,-0.057851410634244385,0.05683245291090588,0.996151234304856,0.9365859955264577,1.0599514587147574
CHARLS repeated 5-fold CV,M2_repeat_assessment,none_internal_cv,7264,2886,1000,0.7614087099011723,0.7509848505058127,0.7726745144101458,0.6856448545878198,0.6694612912022753,0.7036328278918157,0.190760355736924,0.18633698051418496,0.19496254099570443,39.730176211453745,38.62851046255507,40.859375,39.73736867575953,39.23483793196923,40.224135457131524,-0.0023014923871218385,-0.05730869181486163,0.05506915245861568,0.9945680352195088,0.9428305985692604,1.0558749197218833
HRS external validation,M1_single_assessment,none_original_transport,13118,4529,1000,0.7385025946680506,0.7295265821038636,0.7466697069323412,0.6013973034311989,0.5864012034293793,0.6171987238861129,0.21548846048820797,0.21242764299524516,0.21856084719950603,34.52508004268943,33.633175788992226,35.356380545814915,50.2885668061535,49.927597396484934,50.624180988173364,-0.7840034437939304,-0.8250269949647528,-0.7446113113265358,1.0151332038872096,0.9679049483741415,1.0630357039498988
HRS external validation,M2_repeat_assessment,none_original_transport,13118,4529,1000,0.7744962728518849,0.7664872122168632,0.7826518186391256,0.6528768003590903,0.6380102852882903,0.6668920240268797,0.19244504498948967,0.1894519207355663,0.19525335485478876,34.52508004268943,33.69416069522793,35.280149413020276,46.35043797741466,45.98512905502863,46.69570775615071,-0.6168039516087189,-0.6593589951435995,-0.5803337321474119,1.1366969834444278,1.0892902167688863,1.1845664091730983
HRS external validation,M1_single_assessment,cv_intercept_slope,13118,4529,1000,0.7384758720151768,0.7299514508216343,0.7472271040349854,0.6012197394771487,0.5858785729091107,0.6174563460602986,0.1893353902088788,0.18622618296797513,0.1925472317083965,34.52508004268943,33.73932764140876,35.363622503430406,34.525991799159414,34.20348104275544,34.86037005578224,-0.0006381594918318289,-0.04699899220170396,0.05186467293905404,0.9989211409491784,0.9534797294673764,1.047100988142163
HRS external validation,M2_repeat_assessment,cv_intercept_slope,13118,4529,1000,0.7744282001392251,0.7663586914788515,0.7833297193228537,0.652515551836771,0.6388883015574989,0.6671481809974983,0.17742741354516564,0.1737635049891408,0.18071316377922395,34.52508004268943,33.66347766427809,35.31788382375362,34.52998055704782,34.16154401895429,34.89689075094245,-0.0007990417498718054,-0.04739268854416919,0.046439667138283146,0.9989995448280584,0.9604164909650504,1.04375544219158
