dataset,model,calibration,n,events,bootstrap_replicates,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,brier,brier_ci_low,brier_ci_high,observed_percent,observed_percent_ci_low,observed_percent_ci_high,mean_predicted_percent,mean_predicted_percent_ci_low,mean_predicted_percent_ci_high,calibration_intercept,calibration_intercept_ci_low,calibration_intercept_ci_high,calibration_slope,calibration_slope_ci_low,calibration_slope_ci_high
ELSA confirmatory validation,M1_single_assessment,none_original_transport,6907,2098,1000,0.673425571809768,0.6599824494263792,0.6872585120020666,0.4752742479981309,0.4520872276369999,0.49976711386175604,0.28391469296541244,0.2788829670927792,0.28917828672987134,30.374981902417836,29.274648906906037,31.417764586651224,58.92030656345608,58.419170601792786,59.41738700638963,-1.2013071522193357,-1.2690313205109376,-1.1344842775637851,0.666383841482809,0.6093810330669774,0.7255271204572102
ELSA confirmatory validation,M1_single_assessment,cv_intercept_slope,6907,2098,1000,0.6732205027077249,0.6597655525493131,0.6864541627888278,0.47497437368453527,0.4531102679466704,0.49554769257817044,0.19401487068976786,0.18988615099462758,0.19847868311872965,30.374981902417836,29.31808310409729,31.417402635007964,30.369461315239004,30.039700397784195,30.66593403690302,-0.0008216196913788807,-0.08775747353498989,0.07593594869600152,0.9985321758132943,0.9117716204954137,1.0831867494267577
ELSA confirmatory validation,M2_repeat_assessment,none_original_transport,6907,2098,1000,0.7066451309419243,0.692868255431381,0.7194794754997508,0.5124084785130747,0.4889856256565645,0.534223159015601,0.23907321630555986,0.23433456799454438,0.24397182131466288,30.374981902417836,29.187418560880264,31.417402635007964,52.0009631187263,51.46819542120257,52.50382686223929,-1.0243112062883266,-1.089148022607678,-0.967564705253749,0.7922509704053023,0.7300695724091747,0.8520725050909508
ELSA confirmatory validation,M2_repeat_assessment,cv_intercept_slope,6907,2098,1000,0.7064467025502905,0.6925390115534803,0.7189438401353685,0.5123437157104259,0.48978943948781467,0.5370655094593808,0.1869923477668167,0.18288486751388114,0.19141080736488966,30.374981902417836,29.39047343274939,31.461198783842477,30.37051569488854,29.99798733434532,30.723434777644876,-0.0009567498112713469,-0.07945800413259928,0.08000537887002361,0.9983576594455043,0.9229897517963516,1.0725710968944029
