model,artifact,expected_sha256,observed_sha256,hash_verified,freeze_date,development_cohort
M1_single_assessment,model_artifacts\m1_single_assessment_charls_frozen_2026-07-16.joblib,161fb2d50d43f545eb4dc2317f72162cb43c450724578654274527ae3830a1a1,161fb2d50d43f545eb4dc2317f72162cb43c450724578654274527ae3830a1a1,True,2026-07-16,CHARLS
M2_repeat_assessment,model_artifacts\m2_repeat_assessment_charls_frozen_2026-07-16.joblib,a22b6dbfe761eb2492e46f10befaab2c85ab0d46889b84704f8f79f7498fa558,a22b6dbfe761eb2492e46f10befaab2c85ab0d46889b84704f8f79f7498fa558,True,2026-07-16,CHARLS
