dataset,model,n,events,event_percent,auroc,auprc,brier,observed_percent,mean_predicted_percent,calibration_intercept,calibration_slope
CHARLS nested 5-fold CV,M2_repeat_assessment,7264,2886,39.730176211453745,0.7613989353939103,0.6856321689616478,0.1907683935417823,39.730176211453745,39.74877511315433,-0.0032303515679847636,0.9935425843862099
HRS external validation,M2_repeat_assessment,13118,4529,34.52508004268943,0.7744962728518849,0.6528768003590903,0.19244504498948967,34.52508004268943,46.35043797741466,-0.6165315407383005,1.1368629055627324
CHARLS nested 5-fold CV,M4_elastic_net,7264,2886,39.730176211453745,0.7647224657274908,0.6908711328344469,0.18944219512125593,39.730176211453745,39.752487619955154,0.004040270708894842,1.0147348297859053
HRS external validation,M4_elastic_net,13118,4529,34.52508004268943,0.7759612629246572,0.6480758574772723,0.19769642114364397,34.52508004268943,48.37606944312799,-0.7315661214967081,1.109591248082248
CHARLS nested 5-fold CV,M4_gradient_boosting,7264,2886,39.730176211453745,0.7653110335271138,0.6822665935778194,0.18969695681664686,39.730176211453745,39.7051760323921,0.01852507473164379,1.051016078088229
HRS external validation,M4_gradient_boosting,13118,4529,34.52508004268943,0.7582661751549458,0.6117692405315404,0.20168639872022856,34.52508004268943,47.61323603732662,-0.6711675249795453,1.037203814358537
