dataset,model,n,events,unweighted_event_percent,weight_mean,effective_sample_size,auroc,auprc,brier,observed_percent,mean_predicted_percent,calibration_intercept,calibration_slope
CHARLS repeated 5-fold CV,M1_single_assessment,7264,2886,39.730176211453745,0.9987496253575331,7220.152224870381,0.7403903984184941,0.6561553907296536,0.1980741689163773,39.57863312770082,39.617813376863516,-0.0025981549252606755,0.9981335002842272
CHARLS repeated 5-fold CV,M2_repeat_assessment,7264,2886,39.730176211453745,0.9987496253575331,7220.152224870381,0.7620018291807105,0.6850423228375473,0.1903353295697385,39.57863312770082,39.67352811547427,-0.006059418246113021,0.9968953255169469
HRS external validation,M1_single_assessment,13118,4529,34.52508004268943,0.9953952561801231,12946.885888345238,0.7373280347229137,0.5955327623437927,0.2143827246999368,34.08018662984846,49.69647809307315,-0.7772676843731667,1.0092460811058688
HRS external validation,M2_repeat_assessment,13118,4529,34.52508004268943,0.9953952561801231,12946.885888345238,0.7735312278273733,0.6472722621371433,0.1920742373871991,34.08018662984846,45.99271652159314,-0.6205716668290112,1.1350695159771529
