eligible_n,observed_outcome_n,observed_outcome_percent,raw_weight_min,raw_weight_p01,raw_weight_median,raw_weight_p99,raw_weight_max,truncated_weight_mean,truncated_weight_min,truncated_weight_max,effective_sample_size,dataset
8359,7264,86.90034693145114,0.87778128213587,0.9148216514849925,0.9720755866538819,1.3023596916623295,2.0493245883660407,0.9987496253575331,0.9148216514849925,1.3023596916623295,7220.152224870381,CHARLS
15587,13118,84.15987682042729,0.8500997658629018,0.8729270902081907,0.9604735300967898,1.476812453479691,2.637020825003579,0.9953952561801231,0.8729270902081907,1.476812453479691,12946.885888345236,HRS
