scenario,dataset,model,minimum_age,decline_sd,exclude_hrs_dementia_or_ad,n,events,event_percent,index_score_sd,auroc,auprc,brier,observed_percent,mean_predicted_percent,calibration_intercept,calibration_slope
primary_20pt_age50_0.5sd,CHARLS repeated 5-fold CV,M1_single_assessment,50,0.5,False,7264,2886,39.730176211453745,3.3913221189583846,0.7396997667098171,0.6569439517044939,0.19850843723979092,39.730176211453745,39.730166140582675,-0.0014438177833708495,0.9958598925627901
primary_20pt_age50_0.5sd,CHARLS repeated 5-fold CV,M2_repeat_assessment,50,0.5,False,7264,2886,39.730176211453745,3.3913221189583846,0.7614087099011723,0.6856448545878198,0.190760355736924,39.730176211453745,39.73736867575953,-0.0023444901629416483,0.9943543949331122
primary_20pt_age50_0.5sd,HRS external validation,M1_single_assessment,50,0.5,False,13118,4529,34.52508004268943,3.4652115443389855,0.7385025946680506,0.6013973034311989,0.21548846048820797,34.52508004268943,50.2885668061535,-0.7839486215229423,1.0151153448407402
primary_20pt_age50_0.5sd,HRS external validation,M2_repeat_assessment,50,0.5,False,13118,4529,34.52508004268943,3.4652115443389855,0.7744962728518849,0.6528768003590903,0.19244504498948967,34.52508004268943,46.35043797741466,-0.6165315407383005,1.1368629055627324
age65_20pt_0.5sd,CHARLS repeated 5-fold CV,M1_single_assessment,65,0.5,False,1984,910,45.86693548387097,3.4018312532003754,0.7483987148791618,0.7067275058079658,0.20258970905976195,45.86693548387097,45.88195928420978,-0.0034680355923747187,0.9831225907146686
age65_20pt_0.5sd,CHARLS repeated 5-fold CV,M2_repeat_assessment,65,0.5,False,1984,910,45.86693548387097,3.4018312532003754,0.7697372459942293,0.731484227484682,0.194498441429017,45.86693548387097,45.85845987811876,-0.003111344719193426,0.9775933115562201
age65_20pt_0.5sd,HRS external validation,M1_single_assessment,65,0.5,False,6229,2229,35.78423502969979,3.4334159490326264,0.7247814602960969,0.5936232432646746,0.24344050422518962,35.78423502969979,56.9693433895638,-0.9985055078729208,0.9216157336509736
age65_20pt_0.5sd,HRS external validation,M2_repeat_assessment,65,0.5,False,6229,2229,35.78423502969979,3.4334159490326264,0.7629998878420816,0.646905397459496,0.2143053389218775,35.78423502969979,52.682143276539904,-0.8762815823751281,1.0749870604081806
decline_20pt_1sd_age50,CHARLS repeated 5-fold CV,M1_single_assessment,50,1.0,False,7264,1453,20.002753303964756,3.3913221189583846,0.7742688564524433,0.4790430669047406,0.13317484636800253,20.002753303964756,19.99918705356245,-0.006480890500797987,0.9940116072783663
decline_20pt_1sd_age50,CHARLS repeated 5-fold CV,M2_repeat_assessment,50,1.0,False,7264,1453,20.002753303964756,3.3913221189583846,0.7922622958119987,0.5180037088122827,0.12844156583107524,20.002753303964756,20.004559228317788,-0.00976813039372473,0.9912940290707883
decline_20pt_1sd_age50,HRS external validation,M1_single_assessment,50,1.0,False,13118,1951,14.872694008232962,3.4652115443389855,0.7667287745612404,0.39637334611853,0.1262000028241921,14.872694008232962,26.53584484896857,-0.8844723071500876,0.9779223868614487
decline_20pt_1sd_age50,HRS external validation,M2_repeat_assessment,50,1.0,False,13118,1951,14.872694008232962,3.4652115443389855,0.7993147645202143,0.46183526379623974,0.11162810849721658,14.872694008232962,23.315639745893943,-0.6142854558808063,1.085299726321524
hrs_no_dementia_ad_20pt_age50_0.5sd,CHARLS repeated 5-fold CV,M1_single_assessment,50,0.5,False,7264,2886,39.730176211453745,3.3913221189583846,0.7396997667098171,0.6569439517044939,0.19850843723979092,39.730176211453745,39.730166140582675,-0.0014438177833708495,0.9958598925627901
hrs_no_dementia_ad_20pt_age50_0.5sd,CHARLS repeated 5-fold CV,M2_repeat_assessment,50,0.5,False,7264,2886,39.730176211453745,3.3913221189583846,0.7614087099011723,0.6856448545878198,0.190760355736924,39.730176211453745,39.73736867575953,-0.0023444901629416483,0.9943543949331122
hrs_no_dementia_ad_20pt_age50_0.5sd,HRS external validation,M1_single_assessment,50,0.5,True,12962,4475,34.52399321092424,3.4214587730248316,0.7396869744262174,0.6022354802739109,0.21563377616710858,34.52399321092424,50.44284205638099,-0.7929699140376997,1.0229772681785323
hrs_no_dementia_ad_20pt_age50_0.5sd,HRS external validation,M2_repeat_assessment,50,0.5,True,12962,4475,34.52399321092424,3.4214587730248316,0.7754305664990098,0.6536319289914179,0.1924530118155064,34.52399321092424,46.466848999739355,-0.6235409402526948,1.1423355251217122
score25_age50_0.5sd,CHARLS repeated 5-fold CV,M1_single_assessment,50,0.5,False,6003,1817,30.268199233716476,4.0712307798059495,0.7304916853384227,0.5644549719639018,0.17921600145393118,30.268199233716476,30.266866473027022,-0.007947204786954567,0.9886526854596319
score25_age50_0.5sd,CHARLS repeated 5-fold CV,M2_repeat_assessment,50,0.5,False,6003,1817,30.268199233716476,4.0712307798059495,0.7618082367490135,0.6061239254384336,0.17014427614278563,30.268199233716476,30.269419995866308,-0.005264074760425138,0.9923691310786769
score25_age50_0.5sd,HRS external validation,M1_single_assessment,50,0.5,False,12746,3303,25.914012239133843,4.353105424451271,0.7151455989630598,0.4772952838260334,0.17686261967253786,25.914012239133843,33.78428015782213,-0.4876458725430312,0.9012788900451671
score25_age50_0.5sd,HRS external validation,M2_repeat_assessment,50,0.5,False,12746,3303,25.914012239133843,4.353105424451271,0.7643479148550015,0.5514712247816363,0.16051950856099986,25.914012239133843,31.470454899701632,-0.2959750092931013,1.0605269070703043
